id,titulo,enlace,imagen_principal,camaras,area,ciudad,precio,descripcion,habitaciones,banos,tamano
2801852,Apartamento en alquiler Acantos de Cayala zona 16 de 3 dormitorios,https://mapainmueble.com/properties/apartamento-en-alquiler-acantos-de-cayala-zona-16-de-3-dormitorios-daa43550/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-18-67b4afcfcf4f4-835x467.webp,9,Zona 16,"*Guatemala, Ciudad","$ 3,800IVA y mantenimiento incl.",Apartamento en renta Acantos de Cayala de 3 dormitorios Espectacular apartamento en ciudad...,3,3.5,339 m2
2799871,Apartamento en Renta Zona 15,https://mapainmueble.com/properties/apartamento-en-renta-zona-15-caa13475/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-17-67b3b402c4874-835x467.webp,13,Zona 15,"*Guatemala, Ciudad","$ 1,200Incluye Mantenimiento",ZONA 15,3,2.5,147 m2
2797987,"ALQUILER APARTAMENTO ZONA 16, ACANTOS DE CAYALA",https://mapainmueble.com/properties/alquiler-apartamento-zona-16-acantos-de-cayala-daa43500/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-15-67b12ff92549b-2-835x467.webp,49,Zona 16,"*Guatemala, Ciudad","$ 3,800IVA Y MANT. INCLUÍDOS","Alquilo amplio y elegante apartamento en zona 16, en uno de los condominios más exclusivos...",3,3.5,337 m2
2796539,Apartamento renta zona 4 / Silk,https://mapainmueble.com/properties/apartamento-renta-zona-4-silk-daa43468/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-14-67af555426da8-835x467.webp,15,Zona 4,"*Guatemala, Ciudad","$ 1,200",• 90 m2 • Balcón francés • Sala / Comedor • Cocina abierta con gabinetes y linea blanca • ...,3,2,90 m2
2796349,"Renta de apartamento en Zona 14, Santa Inés del Parque de 2 dormitorios",https://mapainmueble.com/properties/renta-de-apartamento-en-zona-14-santa-ines-del-parque-de-2-dormitorios-daa43462/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-14-67aedc6c49d70-835x467.webp,8,Zona 14,"*Guatemala, Ciudad","$ 2,200","🏡 Apartamento en alquiler en Santa Inés del Parque, Zona 14 Disfruta de la comodidad en un...",2,2.5,152 m2
2793443,"Apartamento en Renta en Edificio Trento Diez, zona 10, Ciudad de Guatemala",https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-trento-diez-zona-10-ciudad-de-guatemala-caa13434/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-11-67ac03918f422-835x467.webp,14,Zona 10,"*Guatemala, Ciudad","$ 1,500$",Características del apartamento: • 115 m2. • 3 dormitorios • 2 baños • 2 parqueos + bodega...,3,2,115 m2
2787271,Apartamento en renta zona 5 Céntrico amueblado,https://mapainmueble.com/properties/apartamento-en-renta-zona-5-centrico-amueblado-daa43295/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-18-67b5417c129b6-600x467.webp,10,Zona 5,"*Guatemala, Ciudad",$ 815,Apartamento en alquiler zona 5 Céntrico amueblado 50 mts cuadrados 1 habitacione con walk-...,1,1,65 m2
2787260,Apartamento en renta zona 16 Lirios Cayala Amueblado,https://mapainmueble.com/properties/apartamento-en-renta-zona-16-lirios-cayala-amueblado-daa43294/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-06-67a54e68d40b9-600x467.webp,10,Zona 16,"*Guatemala, Ciudad","$ 1,600",Apartamento en alquiler zona 16 LIRIOS DE CAYALA AMUEBLADO 2 habitaciones 2 baños completo...,2,2,110 m2
2784449,RENTO JARDINES DEL ACUEDUCTO HERMOSO APARTAMENTO AMPLIO,https://mapainmueble.com/properties/rento-jardines-del-acueducto-hermoso-apartamento-amplio-daa43238/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-05-67a3935cdf06c-600x467.webp,14,Zona 10,"*Guatemala, Ciudad","$ 2,100",Hermoso apartamento de 230 mts2 en renta Jardines de Acueducto. Descripción: Baño de visit...,3,2.5,230 m2
2783417,Apartamento en renta zona 13 Narama Amueblado,https://mapainmueble.com/properties/apartamento-en-renta-zona-13-narama-amueblado-daa43215/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-04-67a29b7c421f1-600x467.webp,12,Zona 13,"*Guatemala, Ciudad","$ 1,200",Apartamento en renta zona 13 AMUEBLADO Narama a metros de Av Las Américas 70 mt2 mas parqu...,3,2,94 m2
